LinearRegression,RandomForest,GradientBoosting
85.34995210210066,108.94329878683334,92.98577461404615
96.61948447930007,108.58839119878714,104.78541482541685
95.4736169505908,97.72902594758959,103.42881706852336
104.19077173498684,107.9210845308839,109.76817197883817
94.70939090101469,110.76093078906652,102.44930544434017
90.26993344843868,100.27685952152291,98.77709875668569
96.80414683371765,106.7370734015004,105.92857753846249
88.79196112946852,95.47491132411007,95.06755859276868
94.61163157298908,96.36894806440002,103.7844439094338
90.17455758182814,97.72397176681574,97.76861378815849
91.51567031334851,98.99674040052571,100.06328037062215
87.63159422114329,101.99231152857675,94.2577875200346
89.65306251096477,95.35673967485697,98.21916661625518
95.025981513818,101.415263764472,100.94957663167378
95.7387125119155,105.8489585510526,106.26889685561518
90.21783696067757,95.39073219738684,96.65296632847274
94.6598637094291,103.97107672198476,103.78515988026057
99.19861839358516,101.17956117013377,106.46903198546448
91.14270816099501,99.54356044339379,97.56188319402752
102.86462658998299,105.47673733388379,110.41251760413186
97.4698434501586,108.66230932145669,107.03772361192367
96.52892505009156,103.06793384379438,105.57632724079218
102.68023992944674,109.24327536170264,109.21789520112473
99.34371087418387,112.54156048713484,106.65453902723881
93.13668698550907,98.53203183157835,100.80139449392932
86.96634487645912,92.67768649053947,94.37490999738247
88.15382653968533,102.4546677597847,97.15003390239904
86.37325833037417,95.56617639073066,93.09853617194631
90.95612716010014,103.29615820566941,97.39806933752085
95.49317130963716,106.54077932129199,103.30843917303883
93.72487520419801,102.40929187104868,101.46673038868428
