LinearRegression,RandomForest,GradientBoosting
85.34995210210066,62.03043153823191,84.95044814892549
96.61948447930007,72.11604545288299,95.92807241399085
95.4736169505908,71.33640946338632,95.26645892793574
104.19077173498684,75.67090062479619,101.99090351899716
94.70939090101469,73.33539850412531,95.44373745028324
90.26993344843868,62.53820186396758,88.70321105937415
96.80414683371765,71.1588330065693,96.3209085856238
88.79196112946852,64.86731264886113,87.4272332730624
94.61163157298908,70.41583188227243,95.06413721544101
90.17455758182814,70.29084710523422,89.42091503040471
91.51567031334851,64.6187895725485,89.99453925547908
87.63159422114329,67.40741426935351,87.28528932133682
89.65306251096477,63.25134324166563,88.3951726578328
95.025981513818,72.84591536459577,93.79415744287641
95.7387125119155,71.90097055417151,98.06859942326084
90.21783696067757,64.07840831677471,88.45279625828607
94.6598637094291,71.39051055669081,94.85756706739933
99.19861839358516,74.62865115760177,98.35761547136592
91.14270816099501,70.26579268899175,89.6900885001865
102.86462658998299,74.60150233661946,101.25336451761801
97.4698434501586,69.20556540406561,97.29688948465089
96.52892505009156,71.15874608480021,95.4187092550481
102.68023992944674,76.8089275660717,100.99058570353493
99.34371087418387,75.34678460023846,98.46921314065007
93.13668698550907,67.59583034594422,92.39927058573001
86.96634487645912,63.056056016415155,86.45448168320425
88.15382653968533,67.27455345256588,88.61581215650035
86.37325833037417,61.78695709283895,86.05988030060618
90.95612716010014,66.83718781003414,89.9831034085289
95.49317130963716,71.80278413335068,93.93265039325598
93.72487520419801,69.32076342185552,93.00952705504633
